# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)	Dind.region100 (J/m2)
1.1603501903310818e-07	3.5489789e-09	9.221278e-09	0.9281018	809774.4	0.0030256403
1.1604000681660919e-07	-4.6409725e-09	-4.8533044e-10	0.92780197	810707.7	0.0030292813
1.1604501981228229e-07	-5.0049703e-10	-3.397313e-09	0.9285616	811476.4	0.0030329353
1.1605000681794686e-07	2.23707e-09	-9.706609e-10	0.9301966	812060.56	0.0030365656
1.1605501936000193e-07	2.525235e-09	1.9413218e-09	0.9322884	812457.1	0.0030402085
1.160600062313219e-07	-3.2456473e-09	2.9119827e-09	0.93436533	812655.6	0.003043826
1.1606501871313082e-07	-3.0333153e-11	-2.9119827e-09	0.9360063	812655.1	0.0030474558
1.1607000582849863e-07	3.4276462e-09	-1.9413218e-09	0.936741	812455.7	0.0030510593
1.160750186851348e-07	1.1678264e-09	3.8826435e-09	0.93632615	812058.06	0.0030546738
1.1608000600582522e-07	-1.5469908e-09	1.9413218e-09	0.9348203	811472.8	0.0030582605
1.1608501919886605e-07	-2.9119827e-09	-4.8533044e-09	0.93233347	810703.25	0.003061857
1.1609000682216611e-07	3.8219774e-09	-1.9413218e-09	0.9292134	809769.2	0.0030654254
1.1609502005419623e-07	3.7006447e-09	4.367974e-09	0.9259386	808675.75	0.0030690022
1.1610000785208897e-07	-3.9433097e-09	5.8239653e-09	0.9229305	807451.44	0.0030725494
1.1610502108585968e-07	-6.2486296e-09	-3.397313e-09	0.92048156	806103.06	0.003076104
1.1611000857331711e-07	1.3043255e-09	-1.067727e-08	0.9188845	804665.44	0.0030796276
1.1611502170921485e-07	1.10412675e-08	-9.706609e-10	0.9181732	803146.9	0.0030831571
1.1612000927105787e-07	8.189951e-10	1.0191939e-08	0.9181998	801586.4	0.0030866547
1.1612502246963074e-07	-6.9007924e-09	9.706609e-10	0.9187635	799992.75	0.0030901576
1.1613001021892177e-07	2.2294868e-09	-5.8239653e-09	0.9195674	798407.5	0.0030936277
1.161350236352194e-07	4.42864e-09	4.8533044e-10	0.92020255	796839.1	0.0030971018
1.1614001150196441e-07	-4.549973e-11	9.706609e-10	0.92037076	795328.56	0.003100542
1.1614502499735904e-07	-5.6116334e-10	1.9413218e-09	0.9198808	793884.1	0.0031039843
1.161500129183422e-07	-1.6531568e-09	-1.4559913e-09	0.91856605	792543.3	0.0031073925
1.1615500094851327e-07	0	-4.8533044e-09	0.91644734	791319.4	0.003110784
1.1616001463565323e-07	7.158624e-09	9.706609e-10	0.91369426	790226.56	0.0031141753
1.1616500282374972e-07	-1.3346587e-09	9.221278e-09	0.9105489	789293.06	0.003117532
1.1617001675072592e-07	-1.4377914e-08	-3.397313e-09	0.9072503	788524	0.0031208866
1.161750051242609e-07	4.7319717e-09	-1.3589252e-08	0.9041877	787939.6	0.0031242056
1.1618001907832902e-07	1.3801585e-08	2.9119827e-09	0.9016169	787542.9	0.0031275214
1.1618500732503402e-07	-7.552955e-09	1.5530574e-08	0.8997347	787344.4	0.0031308006
1.1619002107332914e-07	-1.3194922e-08	-6.3092958e-09	0.8986946	787344.9	0.0031340758
1.1619500929761839e-07	8.705615e-09	-1.067727e-08	0.8985665	787544.75	0.0031373126
1.1620002313411548e-07	6.3244623e-09	5.8239653e-09	0.8992401	787942.4	0.0031405448
1.1620501146960227e-07	-1.7593228e-09	1.9413218e-09	0.9005768	788527.94	0.003143738
1.1621002544347276e-07	3.1698144e-09	0	0.90240705	789297.8	0.0031469252
1.1621501369202583e-07	-4.0343093e-09	3.397313e-09	0.9044226	790232.2	0.003150073
1.1622000185306595e-07	-4.5651394e-09	-7.765287e-09	0.9063524	791320	0.0031531972
1.1622501539388547e-07	1.0464937e-08	-5.8239653e-09	0.9080001	792550.5	0.0031563125
1.1623000334900636e-07	5.3841345e-09	1.1647931e-08	0.9091465	793892.06	0.0031593882
1.1623501684080593e-07	-1.0343605e-08	3.8826435e-09	0.90966016	795337	0.0031624536
1.1624000463665499e-07	4.2466414e-10	-1.0191939e-08	0.90955615	796847.94	0.003165478
1.1624501812255536e-07	1.0798602e-08	4.8533044e-09	0.9089155	798416.44	0.0031684914
1.1625000000000108e-07	-8.826947e-09	1.3589252e-08	0.9078655	800000	0.00317146
1.1625501580036138e-07	-9.388111e-09	-8.735948e-09	0.90673256	804521.06	0.003174421
1.162600033890919e-07	9.61561e-09	-8.250617e-09	0.9060267	808945.7	0.0031773385
1.1626501652016397e-07	4.610639e-09	7.765287e-09	0.90591425	813251.44	0.0031802421
1.1627000375184514e-07	-6.4002954e-09	2.9119827e-09	0.906806	817326.56	0.0031831027
1.1627501643186526e-07	5.687466e-10	-8.250617e-09	0.90893465	821148.4	0.003185949
1.1628000338947714e-07	4.716805e-09	6.794626e-09	0.9120778	824618.1	0.0031887516
1.1628501577283007e-07	-9.069613e-09	9.706609e-10	0.9159517	827716.25	0.0031915377
1.1629000233634663e-07	5.1414695e-09	-9.706609e-09	0.92022955	830362.56	0.00319428
1.1629501425582042e-07	1.0434604e-08	1.1647931e-08	0.9242728	832542.5	0.0031970055
1.1630000045012518e-07	-1.5348576e-08	7.2799566e-09	0.9273754	834199.5	0.0031996858
1.1630501188898224e-07	-3.9129766e-09	-1.9413218e-08	0.92930657	835324.44	0.0032023485
1.1631002342768162e-07	1.7077564e-08	-4.8533044e-10	0.92959267	835889.75	0.0032049785
1.1631500945076601e-07	-3.579312e-09	1.4074582e-08	0.9281724	835887.9	0.0032075634
1.1632002122162762e-07	-1.21029275e-08	-2.9119827e-09	0.9253936	835318.8	0.0032101288
