# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)
1.1092001920208055e-07	-5.4099756e-09	1.8223076e-08	0.7751781	832425.9
1.1092250017028167e-07	-1.3477483e-08	9.111538e-09	0.77057433	833312.44
1.1092500679239071e-07	-1.6704487e-08	-1.8223076e-08	0.7669926	834076.75
1.1092751347531053e-07	1.8982371e-10	-2.1260256e-08	0.76467925	834705.8
1.1093002020195856e-07	1.8697635e-08	0	0.763785	835197.25
1.1093250154125491e-07	2.3822876e-08	6.074359e-09	0.76427543	835546.06
1.1093500844443281e-07	1.3619851e-08	2.1260256e-08	0.76597553	835758.2
1.1093751543591444e-07	-3.5591945e-09	2.4297435e-08	0.7687842	835828.3
1.1094002232695027e-07	-1.8840003e-08	1.8223076e-08	0.7727669	835756.44
1.1094250376494005e-07	-1.6974392e-08	0	0.7778684	835545.44
1.1094501084495616e-07	-1.1401286e-08	-1.0630128e-08	0.7839544	835191.9
1.1094751803069489e-07	-6.572646e-09	-6.074359e-09	0.7906741	834698.8
1.1095002524963458e-07	1.328766e-09	-1.0630128e-08	0.79774046	834067.9
1.109525067329698e-07	9.657281e-09	-9.111538e-09	0.8048353	833310.2
1.1095501373975829e-07	1.2908012e-08	3.0371794e-09	0.8119361	832413.25
1.1095752067156151e-07	1.2433453e-08	1.5185897e-09	0.8188265	831387.75
1.1096000212114984e-07	7.581084e-09	1.8223076e-08	0.82518315	830249.8
1.1096250925240029e-07	3.5591946e-10	2.4297435e-08	0.83073443	828980.8
1.1096501607457923e-07	-1.9006098e-08	1.8223076e-08	0.8351243	827597.06
1.1096752276737824e-07	-3.0015872e-08	-6.074359e-09	0.8382573	826103.75
1.1097000394450316e-07	-1.6657031e-08	-1.8223076e-08	0.8400874	824523.7
1.1097251068322803e-07	8.636979e-09	-3.0371794e-08	0.8405688	822830.44
1.1097501738777815e-07	2.5910936e-08	-6.074359e-09	0.83956677	821046.75
1.1097752400564963e-07	2.8948115e-08	1.6704487e-08	0.83701026	819179.56
1.1098000514240995e-07	1.07250395e-08	3.0371794e-08	0.8329114	817256.4
1.1098251176330809e-07	-1.328766e-08	3.0371794e-08	0.82728887	815245.3
